"obs_idx","pareto_k","categoria","Field","Bottom","logSOC","logN","logP","logBottom","Texture2","BulkDensity"
146,1.553,"molto_alto","26",20,1.238,-4.605,-1.966,-1.605,0.228,0.261
216,0.991,"alto","40",20,-0.386,-3.507,-2.207,-1.605,0.587,-0.312
158,0.939,"alto","28",40,-0.083,-4.605,-2.526,0.002,1.583,0.862
209,0.896,"alto","38",50,-4.605,-3.912,-3.912,0.52,1.656,1.378
134,0.872,"alto","23",50,-1.022,-3.219,-0.083,0.52,0.051,1.206
166,0.834,"alto","30",20,-1.561,-2.04,-2.659,-1.605,2,-1.286
175,0.819,"alto","31",60,1.033,-3.507,-4.605,0.943,1.477,0.948
183,0.761,"alto","33",40,0.788,-3.507,-3.507,0.002,1.219,0.862
84,0.732,"alto","14",80,-0.923,-2.996,-3.632,1.61,1.37,0.316
205,0.716,"alto","37",60,-1.204,-2.813,-1.833,0.943,0.781,2.008
211,0.713,"alto","39",20,0.122,-2.303,-2.659,-1.605,1.5,-0.999
213,0.702,"alto","39",40,-2.12,-3.912,-2.526,0.002,1.665,-0.77
66,0.698,"moderato","11",80,-0.958,-2.207,-2.083,1.61,2.132,-0.756
206,0.686,"moderato","38",20,-0.174,-2.408,-2.813,-1.605,1.711,1.005
109,0.678,"moderato","19",20,0.835,-1.772,-2.301,-1.605,-2.259,-1.038
180,0.678,"moderato","32",60,0.554,-2.207,-3.912,0.943,0.63,1.206
48,0.672,"moderato","8",80,0.661,-2.996,-2.347,1.61,0.436,-0.376
136,0.667,"moderato","24",20,0.642,-1.966,-2.303,-1.605,0.054,1.235
131,0.666,"moderato","23",20,-1.171,-1.966,-1.427,-1.605,-0.464,0.748
147,0.653,"moderato","26",30,0.104,-2.526,-2.303,-0.665,0.173,0.519
176,0.638,"moderato","32",20,-0.755,-3.219,-3.912,-1.605,1.006,0.633
97,0.631,"moderato","17",20,0.519,-1.514,-2.212,-1.605,0.616,-0.797
79,0.62,"moderato","14",20,1.092,-1.833,-2.215,-1.605,-0.32,-1.425
114,0.618,"moderato","19",80,0.274,-2.526,-1.805,1.61,-1.69,-0.292
210,0.614,"moderato","38",60,-3.912,-3.507,-2.813,0.943,2.581,1.865
185,0.614,"moderato","33",60,-2.12,-2.526,-3.507,0.943,1.006,1.149
220,0.6,"moderato","40",60,-1.309,-2.813,-2.408,0.943,0.751,1.149
133,0.595,"moderato","23",40,-0.223,-2.813,-3.912,0.002,0.254,1.32
17,0.594,"moderato","3",60,-2.066,-2.207,-3.152,0.943,-0.294,-0.089
72,0.579,"moderato","12",80,0.368,-2.303,-4.28,1.61,0.583,-0.732
140,0.573,"moderato","24",60,-1.833,-2.996,-3.507,0.943,1.37,1.492
179,0.571,"moderato","32",50,-0.616,-3.507,-4.605,0.52,0.742,1.378
102,0.568,"moderato","17",80,0.088,-2.303,-2.816,1.61,-1.259,-0.434
184,0.562,"moderato","33",50,-1.661,-3.507,-3.507,0.52,1.157,0.776
157,0.56,"moderato","28",30,0.565,-2.207,-2.303,-0.665,0.117,-0.255
135,0.557,"moderato","23",60,-1.347,-3.507,-2.526,0.943,-0.028,1.235
6,0.552,"moderato","1",80,-0.372,-2.526,-2.186,1.61,0.385,-0.168
139,0.547,"moderato","24",50,-1.47,-3.912,-3.912,0.52,0.877,1.263
150,0.547,"moderato","26",60,0.788,-3.219,-2.659,0.943,0.377,1.636
1,0.544,"moderato","1",20,1.176,-1.609,-1.82,-1.605,0.096,-1.379
160,0.533,"moderato","28",60,-0.916,-3.507,-2.303,0.943,-0.18,1.807
18,0.532,"moderato","3",80,-0.28,-1.966,-3.053,1.61,-0.95,-0.175
215,0.528,"moderato","39",60,-1.609,-3.912,-2.303,0.943,2.231,1.177
125,0.528,"moderato","21",60,-0.968,-3.507,-2.12,0.943,0.068,1.349
200,0.52,"moderato","36",60,-1.427,-2.813,-2.526,0.943,1.384,0.576
67,0.52,"moderato","12",20,1.177,-1.514,-2.093,-1.605,-0.045,-1.338
126,0.519,"moderato","22",20,0.615,-2.207,-2.207,-1.605,0.022,1.521
186,0.518,"moderato","34",20,-0.051,-2.526,-3.507,-1.605,1.081,0.633
130,0.518,"moderato","22",60,-0.094,-3.912,-2.12,0.943,0.442,1.836
13,0.514,"moderato","3",20,1.064,-1.715,-1.738,-1.605,-0.685,-0.901
19,0.513,"moderato","4",20,1.141,-1.273,-1.726,-1.605,-0.79,-0.929
141,0.512,"moderato","25",20,0.713,-1.966,-2.996,-1.605,-0.648,0.92
122,0.51,"moderato","21",30,0.451,-2.207,-2.996,-0.665,-0.128,1.492
40,0.505,"moderato","7",50,0.124,-2.526,-3.002,0.52,-0.525,-0.407
103,0.502,"moderato","18",20,1.16,-1.386,-2.75,-1.605,-0.666,-1.494
