"obs_idx","pareto_k","categoria","Field","Bottom","logSOC","logN","logP","logBottom","Texture2","BulkDensity"
146,1.56,"molto_alto","26",20,1.238,-4.605,-1.966,-1.605,0.228,0.261
166,0.96,"alto","30",20,-1.561,-2.04,-2.659,-1.605,2,-1.286
175,0.938,"alto","31",60,1.033,-3.507,-4.605,0.943,1.477,0.948
134,0.884,"alto","23",50,-1.022,-3.219,-0.083,0.52,0.051,1.206
158,0.861,"alto","28",40,-0.083,-4.605,-2.526,0.002,1.583,0.862
216,0.834,"alto","40",20,-0.386,-3.507,-2.207,-1.605,0.587,-0.312
176,0.802,"alto","32",20,-0.755,-3.219,-3.912,-1.605,1.006,0.633
206,0.797,"alto","38",20,-0.174,-2.408,-2.813,-1.605,1.711,1.005
131,0.778,"alto","23",20,-1.171,-1.966,-1.427,-1.605,-0.464,0.748
205,0.777,"alto","37",60,-1.204,-2.813,-1.833,0.943,0.781,2.008
150,0.767,"alto","26",60,0.788,-3.219,-2.659,0.943,0.377,1.636
84,0.766,"alto","14",80,-0.923,-2.996,-3.632,1.61,1.37,0.316
180,0.757,"alto","32",60,0.554,-2.207,-3.912,0.943,0.63,1.206
209,0.746,"alto","38",50,-4.605,-3.912,-3.912,0.52,1.656,1.378
48,0.736,"alto","8",80,0.661,-2.996,-2.347,1.61,0.436,-0.376
210,0.725,"alto","38",60,-3.912,-3.507,-2.813,0.943,2.581,1.865
136,0.692,"moderato","24",20,0.642,-1.966,-2.303,-1.605,0.054,1.235
66,0.679,"moderato","11",80,-0.958,-2.207,-2.083,1.61,2.132,-0.756
18,0.67,"moderato","3",80,-0.28,-1.966,-3.053,1.61,-0.95,-0.175
183,0.655,"moderato","33",40,0.788,-3.507,-3.507,0.002,1.219,0.862
147,0.651,"moderato","26",30,0.104,-2.526,-2.303,-0.665,0.173,0.519
170,0.643,"moderato","30",60,-0.315,-3.219,-2.207,0.943,0.378,0.519
185,0.637,"moderato","33",60,-2.12,-2.526,-3.507,0.943,1.006,1.149
114,0.631,"moderato","19",80,0.274,-2.526,-1.805,1.61,-1.69,-0.292
215,0.615,"moderato","39",60,-1.609,-3.912,-2.303,0.943,2.231,1.177
97,0.613,"moderato","17",20,0.519,-1.514,-2.212,-1.605,0.616,-0.797
171,0.591,"moderato","31",20,-0.545,-3.219,-4.605,-1.605,1.125,0.948
213,0.585,"moderato","39",40,-2.12,-3.912,-2.526,0.002,1.665,-0.77
133,0.582,"moderato","23",40,-0.223,-2.813,-3.912,0.002,0.254,1.32
220,0.578,"moderato","40",60,-1.309,-2.813,-2.408,0.943,0.751,1.149
60,0.577,"moderato","10",80,-0.024,-2.207,-2.565,1.61,-0.674,-0.834
135,0.557,"moderato","23",60,-1.347,-3.507,-2.526,0.943,-0.028,1.235
130,0.551,"moderato","22",60,-0.094,-3.912,-2.12,0.943,0.442,1.836
204,0.548,"moderato","37",50,0.482,-2.813,-3.912,0.52,0.508,1.349
121,0.528,"moderato","21",20,0.542,-2.207,-3.219,-1.605,0.019,0.948
211,0.528,"moderato","39",20,0.122,-2.303,-2.659,-1.605,1.5,-0.999
40,0.525,"moderato","7",50,0.124,-2.526,-3.002,0.52,-0.525,-0.407
109,0.525,"moderato","19",20,0.835,-1.772,-2.301,-1.605,-2.259,-1.038
72,0.523,"moderato","12",80,0.368,-2.303,-4.28,1.61,0.583,-0.732
196,0.523,"moderato","36",20,1.188,-1.897,-2.207,-1.605,-0.435,-0.226
198,0.511,"moderato","36",40,-2.303,-2.659,-1.966,0.002,0.987,0.662
12,0.511,"moderato","2",80,-1.809,-2.996,-3.516,1.61,0.07,0.498
90,0.506,"moderato","15",80,0.151,-2.659,-1.783,1.61,-0.562,-0.075
91,0.505,"moderato","16",20,1.171,-2.12,-1.612,-1.605,-0.082,-1.218
103,0.503,"moderato","18",20,1.16,-1.386,-2.75,-1.605,-0.666,-1.494
85,0.503,"moderato","15",20,1.405,-1.309,-1.909,-1.605,-0.863,-1.268
17,0.502,"moderato","3",60,-2.066,-2.207,-3.152,0.943,-0.294,-0.089
10,0.502,"moderato","2",50,-2.066,-2.303,-3.019,0.52,-0.233,-0.414
54,0.502,"moderato","9",80,-0.589,-2.207,-1.354,1.61,-1.288,0.107
31,0.501,"moderato","6",20,1.136,-1.661,-2.179,-1.605,-0.834,-1.133
