"modello","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"A (ridotto)",0,0,-502.63,36.37,150.51,17.84,1005.25,72.74
"M-SP-RIRS-MVRE",-1.83,4.05,-504.45,36.33,152.44,18.51,1008.91,72.66
"B (resp-spec)",-5.7,6.04,-508.33,38.03,131.28,14.69,1016.66,76.07
