"modello","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"A (ridotto)",0,0,-502.27,36.16,152.25,18.41,1004.55,72.32
"M-SP-RIRS",-2.58,4.23,-504.85,35.89,154.25,18.57,1009.7,71.78
"B (resp-spec)",-5.26,5.78,-507.53,37.3,131.71,14.71,1015.07,74.61
