"variable","label","med_full","q05_full","q95_full","med_ni","q05_ni","q95_ni","diff_abs","flag"
"alpha_SOC","alpha_SOC",-0.24,-0.527,0.049,-0.22,-0.487,0.041,0.02,"OK"
"psi_SOC","psi_SOC",0.323,0.231,0.436,0.316,0.231,0.422,0.007,"OK"
"eta_SOC","eta_SOC",0.209,0.125,0.302,0.16,0.089,0.239,0.049,"OK"
"b_SOC","b_SOC",0.645,0.388,0.99,0.506,0.285,0.777,0.139,"nota"
"sigma_SOC","sigma_SOC",0.531,0.486,0.582,0.44,0.402,0.484,0.091,"ATTENZIONE"
"alpha_N","alpha_N",-2.594,-2.8,-2.381,-2.522,-2.722,-2.313,0.072,"nota"
"psi_N","psi_N",0.197,0.131,0.274,0.222,0.166,0.294,0.025,"OK"
"eta_N","eta_N",-0.051,-0.124,0.021,0.016,-0.033,0.061,0.067,"nota"
"b_N","b_N",-0.252,-0.748,0.103,0.073,-0.152,0.273,0.325,"nota"
"sigma_N","sigma_N",0.345,0.316,0.378,0.266,0.243,0.292,0.079,"ATTENZIONE"
"alpha_P","alpha_P",-2.611,-2.959,-2.257,-2.591,-2.923,-2.254,0.02,"OK"
"psi_P","psi_P",0.392,0.293,0.515,0.39,0.294,0.511,0.002,"OK"
"eta_P","eta_P",0.096,0.019,0.179,0.119,0.039,0.206,0.023,"OK"
"b_P","b_P",0.244,0.048,0.461,0.305,0.101,0.533,0.061,"nota"
"sigma_P","sigma_P",0.548,0.502,0.599,0.516,0.473,0.567,0.032,"OK"
"gamma_SOC[1]","γ_SOC logBottom",-0.378,-0.472,-0.286,-0.41,-0.489,-0.33,0.032,"OK"
"gamma_SOC[3]","γ_SOC Texture2",-0.529,-0.66,-0.397,-0.524,-0.638,-0.407,0.005,"OK"
"gamma_SOC[4]","γ_SOC BulkDensity",-0.223,-0.362,-0.084,-0.186,-0.303,-0.063,0.037,"OK"
"gamma_N[1]","γ_N logBottom",-0.202,-0.253,-0.152,-0.252,-0.293,-0.211,0.05,"OK"
"gamma_N[3]","γ_N Texture2",-0.288,-0.37,-0.205,-0.268,-0.343,-0.193,0.02,"OK"
"gamma_N[4]","γ_N BulkDensity",-0.204,-0.291,-0.114,-0.163,-0.243,-0.08,0.041,"OK"
"gamma_P[1]","γ_P logBottom",-0.062,-0.144,0.021,-0.058,-0.14,0.027,0.004,"OK"
"gamma_P[3]","γ_P Texture2",-0.072,-0.215,0.07,-0.047,-0.188,0.091,0.025,"OK"
"gamma_P[4]","γ_P BulkDensity",-0.15,-0.297,-0.001,-0.169,-0.312,-0.023,0.019,"OK"
"beta_SOC[1]","β_SOC OnFarm",-0.081,-0.443,0.304,0.058,-0.27,0.402,0.139,"nota"
"beta_SOC[2]","β_SOC Irrigate",0.181,-0.033,0.388,0.182,-0.025,0.379,0.001,"OK"
"beta_N[1]","β_N OnFarm",0.251,0.009,0.5,0.356,0.111,0.61,0.105,"nota"
"beta_N[2]","β_N Irrigate",-0.152,-0.303,-0.006,-0.032,-0.196,0.129,0.12,"nota"
"beta_P[1]","β_P OnFarm",0.65,0.235,1.08,0.668,0.262,1.084,0.018,"OK"
"beta_P[2]","β_P Irrigate",0.401,0.131,0.665,0.37,0.117,0.622,0.031,"OK"
