"modello","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"B (resp-spec)",0,0,-504.33,36.32,110.4,12.63,1008.66,72.64
"A (ridotto)",-0.41,4.58,-504.74,36.98,119.65,16.62,1009.48,73.96
"M-SP",-2.33,7.2,-506.66,36.64,126.74,17.05,1013.32,73.28
