"variable","label","med_full","q05_full","q95_full","med_ni","q05_ni","q95_ni","diff_abs","flag"
"alpha_SOC","alpha_SOC",-0.23,-0.543,0.084,-0.241,-0.523,0.034,0.011,"OK"
"tau_alpha_SOC","tau_alpha_SOC",0.33,0.237,0.444,0.291,0.217,0.385,0.039,"OK"
"tau_beta_SOC","tau_beta_SOC",0.224,0.13,0.323,0.13,0.049,0.206,0.094,"nota"
"rho_SOC","rho_SOC",0.676,0.273,0.913,0.639,0.126,0.914,0.037,"OK"
"sigma_SOC","sigma_SOC",0.52,0.474,0.575,0.403,0.366,0.445,0.117,"ATTENZIONE"
"alpha_N","alpha_N",-2.56,-2.774,-2.344,-2.478,-2.677,-2.275,0.082,"nota"
"tau_alpha_N","tau_alpha_N",0.204,0.145,0.278,0.204,0.151,0.274,0,"OK"
"tau_beta_N","tau_beta_N",0.145,0.063,0.217,0.073,0.012,0.13,0.072,"nota"
"rho_N","rho_N",-0.165,-0.586,0.281,0.216,-0.387,0.704,0.381,"nota"
"sigma_N","sigma_N",0.318,0.287,0.356,0.255,0.231,0.284,0.063,"ATTENZIONE"
"alpha_P","alpha_P",-2.613,-2.973,-2.241,-2.628,-2.984,-2.277,0.015,"OK"
"tau_alpha_P","tau_alpha_P",0.389,0.292,0.509,0.393,0.299,0.51,0.004,"OK"
"tau_beta_P","tau_beta_P",0.094,0.012,0.189,0.165,0.065,0.263,0.071,"nota"
"rho_P","rho_P",0.478,-0.29,0.875,0.597,0.1,0.893,0.119,"nota"
"sigma_P","sigma_P",0.548,0.502,0.601,0.488,0.443,0.542,0.06,"ATTENZIONE"
"gamma_SOC[1]","γ_SOC logBottom",-0.372,-0.47,-0.275,-0.418,-0.492,-0.345,0.046,"OK"
"gamma_SOC[3]","γ_SOC Texture2",-0.521,-0.662,-0.381,-0.477,-0.599,-0.359,0.044,"OK"
"gamma_SOC[4]","γ_SOC BulkDensity",-0.228,-0.37,-0.081,-0.269,-0.39,-0.145,0.041,"OK"
"gamma_SOC[5]","γ_SOC PH",-0.023,-0.112,0.066,-0.052,-0.13,0.027,0.029,"OK"
"gamma_N[1]","γ_N logBottom",-0.204,-0.265,-0.143,-0.258,-0.305,-0.212,0.054,"nota"
"gamma_N[3]","γ_N Texture2",-0.281,-0.368,-0.189,-0.233,-0.312,-0.152,0.048,"OK"
"gamma_N[4]","γ_N BulkDensity",-0.199,-0.288,-0.106,-0.18,-0.262,-0.095,0.019,"OK"
"gamma_N[5]","γ_N PH",0.006,-0.049,0.061,0.026,-0.022,0.073,0.02,"OK"
"gamma_P[1]","γ_P logBottom",-0.071,-0.155,0.014,-0.063,-0.153,0.028,0.008,"OK"
"gamma_P[3]","γ_P Texture2",-0.069,-0.215,0.077,-0.051,-0.202,0.099,0.018,"OK"
"gamma_P[4]","γ_P BulkDensity",-0.141,-0.292,0.013,-0.212,-0.362,-0.057,0.071,"nota"
"gamma_P[5]","γ_P PH",0.022,-0.069,0.112,0.066,-0.022,0.155,0.044,"OK"
"beta_SOC[1]","β_SOC OnFarm",-0.111,-0.494,0.301,-0.167,-0.505,0.176,0.056,"nota"
"beta_SOC[2]","β_SOC Irrigate",0.21,-0.024,0.44,0.292,0.087,0.495,0.082,"nota"
"beta_N[1]","β_N OnFarm",0.256,0.007,0.517,0.337,0.099,0.588,0.081,"nota"
"beta_N[2]","β_N Irrigate",-0.133,-0.281,0.016,-0.045,-0.191,0.104,0.088,"nota"
"beta_P[1]","β_P OnFarm",0.641,0.2,1.081,0.586,0.151,1.02,0.055,"nota"
"beta_P[2]","β_P Irrigate",0.425,0.151,0.697,0.37,0.096,0.642,0.055,"nota"
