"modello","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"MVRE",0,0,-504.45,36.33,152.44,18.51,1008.91,72.66
"MVRE-FULL",-3.12,1.1,-507.58,36.17,155.55,18.33,1015.15,72.34
