"OwnId";"Landuse";"Field";"Plot";"OnFarm";"Irrigate";"Fertilised";"N_Natural";"Bottom";"PH";"PercClay";"PercSilt";"PercSand";"Class";"PercTotNitro";"PercSOC";"PercTotPhos";"BulkDensity";"Lat";"Long"
"36";"Farm I";"2";"6";1;1;1;1;1;80;5.84;33.96;11.64;54.4;"sandy clay loam";0.11;1.318624642;0.103827362;1.289540737;-8.35921348;36.11081489
"37";"Farm I";"2";"7";2;1;1;1;1;20;5.98;29.96;17.64;52.4;"sandy clay loam";0.22;3.389684814;0.163273616;1.134679411;-8.359799399;36.11187194
"38";"Farm I";"2";"7";2;1;1;1;1;30;5.66;37.96;11.64;50.4;"sandy clay";0.15;2.413753582;0.127442997;1.225791432;-8.359799399;36.11187194
"39";"Farm I";"2";"7";2;1;1;1;1;40;5.47;33.96;15.64;50.4;"sandy clay loam";0.13;1.16217765;0.21742671;1.259703733;-8.359799399;36.11187194
"40";"Farm I";"2";"7";2;1;1;1;1;50;5.44;33.96;11.64;54.4;"sandy clay loam";0.08;1.132378223;0.049674267;1.216767558;-8.359799399;36.11187194
"41";"Farm I";"2";"7";2;1;1;1;1;60;5.61;29.96;13.64;56.4;"sandy clay loam";0.08;0.875358166;0.729641694;1.261741382;-8.359799399;36.11187194
"42";"Farm I";"2";"7";2;1;1;1;1;80;5.85;19.96;9.64;70.4;"sandy loam";0.06;0.50286533;0.298045603;1.306133022;-8.359799399;36.11187194
"43";"Farm I";"2";"8";3;1;1;1;1;20;5.16;31.96;17.64;50.4;"sandy clay loam";0.25;4.466189112;0.203583062;0.785950336;-8.34907244;36.11638674
"44";"Farm I";"2";"8";3;1;1;1;1;30;5.4;33.96;11.64;54.4;"sandy clay loam";0.16;1.959312321;0.169381107;0.917815337;-8.34907244;36.11638674
"45";"Farm I";"2";"8";3;1;1;1;1;40;5.57;31.96;11.64;56.4;"sandy clay loam";0.11;0.946131805;0.105863192;0.973705139;-8.34907244;36.11638674
"46";"Farm I";"2";"8";3;1;1;1;1;50;5.7;21.96;7.64;70.4;"sandy clay loam";0.07;0.573638968;0.155537459;1.10833552;-8.34907244;36.11638674
"47";"Farm I";"2";"8";3;1;1;1;1;60;5.85;17.96;7.64;74.4;"sandy loam";0.06;0.40974212;0.147801303;1.089414494;-8.34907244;36.11638674
"48";"Farm I";"2";"8";3;1;1;1;1;80;5.75;15.96;11.64;72.4;"sandy loam";0.05;1.936962751;0.095684039;1.227537988;-8.34907244;36.11638674
"49";"Farm I";"2";"9";4;1;1;1;1;20;5.38;60.64;4.88;34.48;"clay";0.24;4.432664756;0.294788274;0.824811214;-8.357803979;36.12070412
"50";"Farm I";"2";"9";4;1;1;1;1;30;5.58;38.68;18.92;42.4;"clay loam";0.22;3.218338109;0.262214984;0.856831413;-8.357803979;36.12070412
"51";"Farm I";"2";"9";4;1;1;1;1;40;5.59;40.68;24.92;34.4;"clay";0.17;1.981661891;0.216612378;0.878954459;-8.357803979;36.12070412
"52";"Farm I";"2";"9";4;1;1;1;1;50;5.72;42.68;16.92;40.4;"clay";0.15;1.516045845;0.209283388;0.94648797;-8.357803979;36.12070412
"53";"Farm I";"2";"9";4;1;1;1;1;60;5.92;38.68;18.92;42.4;"clay loam";0.09;0.815759312;0.111563518;1.187949379;-8.357803979;36.12070412
"54";"Farm I";"2";"9";4;1;1;1;1;80;5.93;40.68;16.92;42.4;"clay";0.11;0.555014327;0.258143322;1.396371764;-8.357803979;36.12070412
"55";"Farm I";"2";"10";5;1;1;1;1;20;5.4;28.68;20.92;50.4;"sandy clay loam";0.24;3.669054441;0.166123779;0.960314874;-8.359729834;36.11967396
"56";"Farm I";"2";"10";5;1;1;1;1;30;5.06;30.68;24.92;44.4;"clay loam";0.23;3.389684814;0.174267101;0.757568796;-8.359729834;36.11967396
"57";"Farm I";"2";"10";5;1;1;1;1;40;5.49;32.68;26.92;40.4;"clay loam";0.19;1.445272206;0.04723127;1.055647739;-8.359729834;36.11967396
"58";"Farm I";"2";"10";5;1;1;1;1;50;5.58;28.68;18.92;52.4;"sandy clay loam";0.15;0.733810888;0.058224756;1.082137176;-8.359729834;36.11967396
"59";"Farm I";"2";"10";5;1;1;1;1;60;5.87;26.68;14.92;58.4;"sandy clay loam";0.11;0.920057307;0.076547231;1.000485669;-8.359729834;36.11967396
"60";"Farm I";"2";"10";5;1;1;1;1;80;5.85;28.68;16.92;54.4;"sandy clay loam";0.11;0.975931232;0.076954397;1.067873633;-8.359729834;36.11967396
"61";"Offfarm NINF";"3";"11";1;0;0;0;1;20;5.74;26.16;18.56;55.28;"sandy clay loam";0.18;2.432378223;0.141286645;0.934553168;-8.345216352;36.15030551
"62";"Offfarm NINF";"3";"11";1;0;0;0;1;30;5.61;28.16;10.56;61.28;"sandy clay loam";0.16;1.552777778;0.161644951;0.851009559;-8.345216352;36.15030551
"63";"Offfarm NINF";"3";"11";1;0;0;0;1;40;5.47;24.16;8.56;67.28;"sandy clay loam";0.12;1.169627507;0.164495114;0.877790089;-8.345216352;36.15030551
"64";"Offfarm NINF";"3";"11";1;0;0;0;1;50;5.39;26.16;12.56;61.28;"sandy clay loam";0.12;1.467621777;0.153094463;0.804143631;-8.345216352;36.15030551
"65";"Offfarm NINF";"3";"11";1;0;0;0;1;60;5.58;16.16;6.56;77.28;"sandy loam";0.05;0.759885387;0.141286645;1.12594663;-8.345216352;36.15030551
